BMU,CPUA,CPUE,Effort,MSY
uyombo,11.5,3.8,2.5,25.5
wesa,11.5,3.8,2.5,25.5
kijangwani,11.5,4.19,4.7,25.5
kuruwitu,11.5,3.64,4.6,25.5
vipingo,11.5,2.59,2.2,25.5
bureni,11.5,2.59,2.2,25.5
msumarini,11.5,2.59,2.2,25.5
kanamai,11.5,3.64,4.6,25.5
mtwapa,11.5,3.27,4.6,25.5
marina,11.5,3.27,4.6,25.5
kenyatta,11.5,3.64,4.6,25.5
reef,11.5,3.64,4.6,25.5
nyali,11.5,3.64,4.6,25.5
shelly_timbwani,11.5,3.8,2.5,25.5
tradewinds,11.5,2.43,1,25.5
mwaepe,11.5,3.64,4.6,25.5
mvuleni,11.5,3.64,4.6,25.5
mwanyaza,11.5,3.64,4.6,25.5
rigata,11.5,3.64,4.6,25.5
gazi,11.5,3.27,4.6,25.5
kibuyuni,14.1,2.43,1,19.5
wasini,14.1,3.64,4.6,19.5
mkwiro,14.1,4.19,4.7,19.5
vanga,14.1,2.43,1,19.5
jimbo,14.1,2.43,1,19.5